Id,Project,Reporter,Assigned To,Priority,Severity,Reproducibility,Product Version,Category,Date Submitted,OS,OS Version,Platform,View Status,Updated,Summary,Status,Resolution,Fixed in Version
0014251,Scribus,Sonopro,,normal,major,always,1.5.2,General,2016-08-04,,,,public,2016-12-06,Breeze theme won't find files/images on the filesystem,feedback,open,
0014395,Scribus,caigner,,normal,major,always,1.5.2,Styles,2016-12-01,,,,public,2016-12-06,When importing style not all imported paragraph styles have correct font,new,open,
0002576,Scribus,christoph_s,,normal,feature,always,1.3,User Interface,2005-09-17,any,any,any,public,2016-12-06,Add a GUI to create user dictionaries for hyphenation and short words (and spellchecking),acknowledged,open,
0003622,Scribus,christoph_s,,normal,feature,always,1.3.4cvs,Documentation,2006-04-10,all,all,all,public,2016-12-06,Allow Scribus to search for additional directories for docs,feedback,open,
0014096,Scribus,Kunda,,normal,minor,have not tried,1.5.3.svn,Canvas,2016-05-25,Yosemite,10.10.5,MacOSX,public,2016-12-06,Cursor Canvas Refresh issue,confirmed,open,
0008202,Scribus,aliB,,normal,feature,always,,Fonts,2009-06-23,,,,public,2016-12-06,Better control of available fonts,feedback,reopened,
0009466,Scribus,Heracles,,normal,major,random,1.3.8,Fonts,2010-11-04,Linux,Ubuntu 10.10,Intel core2 Duo,public,2016-12-06,Font changes made in the text editor are often not acted upon,new,open,
0013961,Scribus,Kunda,,normal,minor,N/A,1.5.2.svn,NLS,2016-04-18,,,,public,2016-12-05,RTL: File dialogs in RTL layout with English are difficult to use,new,open,
0013845,Scribus,Kunda,,normal,minor,have not tried,1.5.2.svn,NLS,2016-03-24,Yosemite,10.10.5,MacOSX,public,2016-12-05,RTL: Font Substitution dialog default size not showing Font options,new,open,
0008238,Scribus,kguciek,,normal,feature,always,1.3.5svn,Styles,2009-07-03,Linux,Debian Lenny,PC,public,2016-12-05,"""Default Paragraph Style"" and other default styles naming inconsistency",new,reopened,
0014382,Scribus,longli,,normal,minor,always,1.5.3.svn,Text Frames / Story Editor,2016-11-22,windows,windows 10,windows nt,public,2016-12-05,about change the font of the text at the cursor position,new,open,
0014416,Scribus,Kunda,,normal,minor,have not tried,1.5.3.svn,User Interface,2016-12-05,Manjaro,16.10,Linux,public,2016-12-05,"after text to path, box doesn't refresh when moving with arrow keys",new,open,
0013075,Scribus,JLuc,,normal,minor,have not tried,1.5.0svn,Canvas,2015-05-21,Ubuntu,14.04,Linux,public,2016-12-05,Metabug: missing display refresh,acknowledged,open,
0014413,Scribus,christoph_s,,normal,minor,always,1.5.3.svn,User Interface,2016-12-05,Linux,openSUSE 42.1,x86 64,public,2016-12-05,Footnote frame cannot be resized,new,open,
0012078,Scribus,Kunda,,normal,minor,always,1.5.0svn,User Interface,2014-02-22,OSX,10.8.5,Mac,public,2016-12-04,Text size when manipulated with trackpad responds opposite of intended result with each scroll,new,open,
0007664,Scribus,appultaart,,normal,trivial,always,1.3.5svn,Import / Export,2008-12-16,Ubuntu 8.04,svn,PC/i486,public,2016-12-02,.odt-document import problem when OOo-par.style 1st line indent is negative (+ solution),new,open,
0011033,Scribus,ale,,normal,feature,N/A,1.5.0svn,General,2012-08-15,,,,public,2016-12-02,add a lock layout button,new,open,
0009146,Scribus,pspencer,,normal,minor,always,1.3.6,Canvas,2010-06-08,Fedora,10,linux,public,2016-12-02,Hard to get the length you want when drawing constrained horizontal/vertical lines,new,open,
0008235,Scribus,kguciek,,normal,minor,have not tried,1.3.5svn,Import / Export,2009-07-02,Linux,Debian Lenny,PC,public,2016-12-02,"Ability to embed font in PDF depends on unchecking ""subset"" field",feedback,reopened,
0014046,Scribus,PeterBenedek,,normal,minor,always,1.5.2.svn,Usability,2016-05-12,Linux Mint ,17.3 (64bit),x86 and x64,public,2016-12-02,The link textframe icon changes between it's starting position and when actually using it,confirmed,open,
0003837,Scribus,christoph_s,,normal,minor,N/A,1.3,General,2006-05-18,any,any,any,public,2016-12-01,Metabug: Master pages/Page templates,acknowledged,open,
0014387,Scribus,kevindrou,,normal,text,random,1.4.6,PDF,2016-11-25,Debian,Stable,GNU/Linux,public,2016-11-25,Underline does not work between m and the following letter when exporting as PDF,new,open,
0014116,Scribus,ale,,normal,feature,N/A,1.5.3.svn,	-,2016-05-29,,,,public,2016-11-25,when clicking on an item that has been selected with ctrl-click use that item,new,open,
0014114,Scribus,Laser,,low,feature,always,1.5.3.svn,General,2016-05-28,Archlinux,uptodate,PC,public,2016-11-25,Preferences > language should be in its own language,new,open,
0009955,Scribus,ale,ale,normal,minor,always,1.4.0svn,Scripter,2011-04-22,,,,public,2016-11-25,[patch] Scripter: after changeColor() the color list in the document is not updated,assigned,open,
0009601,Scribus,yoonminsoo,,normal,major,always,1.3.9,Typography,2010-12-20,windows,xp sp3,,public,2016-11-24,(RFEs) wordwrap problem for Korea (and east Asia),feedback,open,
0011276,Scribus,cezaryece,,low,minor,always,1.5.0svn,Undo/Redo,2012-12-18,,,,public,2016-11-24,Big delay (almost freeze) on closing Context Menu (due to unlimited Action History),new,open,
0011035,Scribus,founder,,normal,minor,have not tried,1.4.1,Usability,2012-08-17,Windows 7,,Windows,public,2016-11-24,Accident to edit an invisible layer,new,open,
0013778,Scribus,longli,Kunda,normal,minor,always,1.5.1,Qt5 Port,2016-02-29,windows,windows 10,OS-win32,public,2016-11-23,The interface of the input method does not follow the cursor when you type the Chinese word in the textbox of Scribus,assigned,no change required,
0014284,Scribus,aw_vertel,,normal,feature,have not tried,1.5.2,Scripter,2016-09-12,,,Linux / Ubuntu,public,2016-11-23,Can't run script on commandline on server without X running,new,open,
0013970,Scribus,longli,,normal,minor,N/A,1.5.2.svn,	-,2016-04-21,,,,public,2016-11-22,Adding/Inserting mathematical formula,new,open,
